source_account_id,transaction_count,total_transaction_amount,average_transaction_amount,max_transaction_amount,min_transaction_amount,transaction_amount_std,suspicious_transaction_count
ACC_000001,5,33327.56,6665.512,22219.56,312.58,8829.194774557305,0
ACC_000002,11,343047.76999999996,31186.160909090904,183158.41,2104.45,54992.07953655207,1
ACC_000003,14,292951.97,20925.140714285713,180862.21,1467.4,46588.01118121807,0
ACC_000004,17,279728.02,16454.589411764708,96336.5,2385.96,22698.79370290811,1
ACC_000005,12,777683.62,64806.96833333333,573467.74,3475.02,163166.40477126784,2
ACC_000006,13,503004.66000000003,38692.666153846156,312914.77,816.72,86252.04376809075,2
ACC_000007,13,1450715.89,111593.53,993531.07,4390.81,267674.98124551534,2
ACC_000008,12,98070.34,8172.528333333333,26723.47,1470.45,7370.869134354428,0
ACC_000009,4,45299.759999999995,11324.939999999999,27621.67,1433.21,11622.02723611218,0
ACC_000010,4,221877.16,55469.29,211273.11,648.27,103893.21985551895,1
ACC_000011,8,199018.2,24877.275,106043.9,4491.92,35650.49103936798,0
ACC_000012,11,231904.32,21082.21090909091,74438.68,1052.84,22559.535306256843,0
ACC_000013,8,145444.91,18180.61375,53932.39,640.58,20805.85027109919,0
ACC_000014,2,84950.98,42475.49,71402.58,13548.4,40909.08299798714,0
ACC_000015,7,96167.57,13738.224285714286,24318.4,1023.65,8311.046923139624,0
ACC_000016,9,217419.11,24157.678888888888,113947.01,1764.4,35453.35160423674,1
ACC_000017,9,67391.29,7487.921111111111,15939.34,1565.51,5187.905789748992,0
ACC_000018,11,408228.36,37111.66909090909,224730.02,888.64,65351.99894254565,1
ACC_000019,8,96655.58,12081.9475,40754.43,1662.33,13940.656775368276,0
ACC_000020,6,188021.64,31336.940000000002,155918.14,1004.95,61265.069394202765,1
ACC_000021,6,59730.41,9955.068333333335,38013.28,270.81,13958.67760722543,0
ACC_000022,7,206034.65,29433.52142857143,74550.69,2525.04,30479.0804261849,1
ACC_000023,13,404755.87,31135.066923076924,136301.91,2525.17,39539.69171453929,1
ACC_000024,14,79576.57,5684.040714285715,19402.47,957.83,5546.654800499077,0
ACC_000025,12,141049.03999999998,11754.086666666664,51045.53,2726.91,14913.162558095713,0
ACC_000026,13,439489.06999999995,33806.85153846153,287519.79,2289.07,76878.2673738003,2
ACC_000027,8,112363.17000000001,14045.396250000002,29007.34,4609.84,8338.206368636462,1
ACC_000028,8,102276.78,12784.5975,32793.61,2045.52,12413.756812089849,0
ACC_000029,8,193419.98,24177.4975,91730.38,1340.75,28779.154420406325,0
ACC_000030,9,86026.65,9558.516666666666,32542.91,374.35,11184.562587507615,0
ACC_000031,16,787005.5,49187.84375,522106.63,1704.35,126843.04646935171,4
ACC_000032,15,526419.18,35094.612,115841.09,659.6,37876.627133254275,1
ACC_000033,14,708226.33,50587.594999999994,378065.81,1124.98,108604.23531522883,2
ACC_000034,16,154551.25,9659.453125,25345.82,388.34,8277.442093857835,0
ACC_000035,13,486362.45999999996,37412.49692307692,185022.18,1033.96,53213.9720827515,0
ACC_000036,8,303757.37,37969.67125,183876.52,3587.55,61890.52274944211,0
ACC_000037,7,106385.11,15197.872857142856,31724.91,958.66,11463.067066086218,0
ACC_000038,6,296949.92000000004,49491.65333333334,260051.6,3888.88,103194.4273273759,1
ACC_000039,13,191543.6,14734.123076923077,70840.8,1535.81,19177.692101872937,1
ACC_000040,6,74631.32,12438.553333333335,28195.96,2054.92,10731.893665568377,1
