account_id,incoming_transactions,outgoing_transactions,total_connections,degree_centrality
ACC_000760,11,7,18,0.018018018018018018
ACC_000282,5,8,13,0.013013013013013013
ACC_000759,8,8,16,0.016016016016016016
ACC_000914,15,16,31,0.031031031031031032
ACC_000239,9,15,24,0.024024024024024024
ACC_000518,14,9,23,0.023023023023023025
ACC_000430,6,9,15,0.015015015015015015
ACC_000226,10,14,24,0.024024024024024024
ACC_000715,14,19,33,0.03303303303303303
ACC_000433,12,11,23,0.022022022022022022
ACC_000345,18,8,26,0.026026026026026026
ACC_000105,8,17,25,0.025025025025025023
ACC_000619,12,10,22,0.02102102102102102
ACC_000271,12,9,21,0.02102102102102102
ACC_000388,10,10,20,0.02002002002002002
ACC_000081,17,13,30,0.03003003003003003
ACC_000047,6,11,17,0.017017017017017015
ACC_000678,9,7,16,0.016016016016016016
ACC_000104,8,11,19,0.01901901901901902
ACC_000390,7,8,15,0.015015015015015015
ACC_000380,8,15,23,0.023023023023023025
ACC_000364,5,6,11,0.011011011011011011
ACC_000074,8,14,22,0.022022022022022022
ACC_000624,11,8,19,0.01901901901901902
ACC_000948,6,10,16,0.016016016016016016
ACC_000656,13,10,23,0.023023023023023025
ACC_000825,15,9,24,0.024024024024024024
ACC_000324,15,8,23,0.023023023023023025
ACC_000898,10,9,19,0.01901901901901902
ACC_000736,5,8,13,0.013013013013013013
ACC_000937,11,11,22,0.022022022022022022
ACC_000659,10,10,20,0.02002002002002002
ACC_000575,11,9,20,0.02002002002002002
ACC_000552,9,9,18,0.018018018018018018
ACC_000142,12,16,28,0.028028028028028028
ACC_000522,8,10,18,0.018018018018018018
ACC_000643,9,12,21,0.02102102102102102
ACC_000164,15,8,23,0.023023023023023025
ACC_000542,14,9,23,0.023023023023023025
ACC_000258,7,7,14,0.014014014014014014
ACC_000274,7,11,18,0.018018018018018018
ACC_000788,8,9,17,0.016016016016016016
ACC_000004,12,17,29,0.029029029029029027
ACC_000977,5,16,21,0.02102102102102102
ACC_000641,15,16,31,0.031031031031031032
ACC_000306,15,8,23,0.023023023023023025
ACC_000798,12,15,27,0.02702702702702703
ACC_000900,12,13,25,0.025025025025025023
ACC_000852,15,9,24,0.024024024024024024
ACC_000970,16,6,22,0.022022022022022022
ACC_000132,15,12,27,0.02702702702702703
ACC_000676,10,6,16,0.016016016016016016
ACC_000434,14,9,23,0.023023023023023025
ACC_000988,10,12,22,0.022022022022022022
ACC_000666,13,11,24,0.024024024024024024
ACC_000383,13,15,28,0.028028028028028028
ACC_000347,10,14,24,0.024024024024024024
ACC_000022,8,7,15,0.015015015015015015
ACC_000061,13,9,22,0.02102102102102102
ACC_000235,7,8,15,0.015015015015015015
ACC_000286,10,14,24,0.024024024024024024
ACC_000686,10,11,21,0.02102102102102102
ACC_000585,14,11,25,0.025025025025025023
ACC_000591,13,16,29,0.029029029029029027
ACC_000097,11,11,22,0.022022022022022022
ACC_000100,11,12,23,0.023023023023023025
ACC_000747,6,14,20,0.02002002002002002
ACC_000056,15,7,22,0.022022022022022022
ACC_000883,13,10,23,0.023023023023023025
ACC_000112,7,2,9,0.009009009009009009
ACC_000188,12,9,21,0.02102102102102102
ACC_000454,10,12,22,0.02102102102102102
ACC_000828,11,11,22,0.022022022022022022
ACC_000096,10,12,22,0.022022022022022022
ACC_000949,10,15,25,0.025025025025025023
