account_id,customer_id,account_type,balance,account_status
ACC_000001,CUST_00001,Savings,210805,Active
ACC_000002,CUST_00001,Current,1873427,Active
ACC_000003,CUST_00001,Savings,4575866,Active
ACC_000004,CUST_00002,Savings,250957,Active
ACC_000005,CUST_00002,Current,4240227,Active
ACC_000006,CUST_00003,Current,4572300,Active
ACC_000007,CUST_00003,Business,4944118,Active
ACC_000008,CUST_00003,Savings,1340319,Active
ACC_000009,CUST_00004,Salary,1305256,Active
ACC_000010,CUST_00004,Salary,858401,Active
ACC_000011,CUST_00005,Salary,2886309,Active
ACC_000012,CUST_00006,Business,4499207,Active
ACC_000013,CUST_00007,Savings,4631852,Active
ACC_000014,CUST_00007,Salary,4844180,Active
ACC_000015,CUST_00008,Savings,1912749,Active
ACC_000016,CUST_00009,Current,848261,Active
ACC_000017,CUST_00010,Salary,1365441,Active
ACC_000018,CUST_00010,Current,2240572,Active
ACC_000019,CUST_00011,Savings,1436615,Active
ACC_000020,CUST_00011,Current,1371719,Active
ACC_000021,CUST_00011,Salary,4673033,Active
ACC_000022,CUST_00012,Savings,1922394,Active
ACC_000023,CUST_00012,Salary,3366214,Active
ACC_000024,CUST_00013,Salary,1784640,Active
ACC_000025,CUST_00014,Business,1199493,Active
ACC_000026,CUST_00014,Current,4710097,Active
ACC_000027,CUST_00015,Business,4896028,Active
ACC_000028,CUST_00015,Current,1161410,Active
ACC_000029,CUST_00015,Savings,396240,Dormant
ACC_000030,CUST_00016,Current,3542334,Active
ACC_000031,CUST_00017,Business,4999674,Closed
ACC_000032,CUST_00017,Salary,4641795,Dormant
ACC_000033,CUST_00018,Savings,4505433,Active
ACC_000034,CUST_00019,Salary,936767,Active
ACC_000035,CUST_00019,Current,3807110,Active
ACC_000036,CUST_00019,Salary,4200220,Active
ACC_000037,CUST_00020,Savings,2504536,Active
ACC_000038,CUST_00020,Current,1283108,Active
ACC_000039,CUST_00020,Current,4525639,Closed
ACC_000040,CUST_00021,Savings,2720218,Active
ACC_000041,CUST_00021,Savings,3045903,Dormant
ACC_000042,CUST_00021,Salary,2009671,Active
ACC_000043,CUST_00022,Savings,719513,Active
ACC_000044,CUST_00022,Savings,4469663,Active
